編號,大分類,小分類,分類內序號,中文_簡體,English,Français,Deutsch
395,人文活動,身體,5,鼻子,nose,le nez,die Nase
396,人文活動,身體,6,嘴巴,mouth,la bouche,der Mund
397,人文活動,身體,7,牙齒,teeth,les dents,die Zähne
398,人文活動,身體,8,眼睛,eyes,les yeux,Augen
399,人文活動,身體,9,耳朵,ear,l’oreille,Ohr
400,人文活動,身體,10,脖子,neck,le cou,Hals
401,人文活動,身體,11,语言（阴性名词）,"language, tongue (n.)",la langue,die Sprache
402,人文活動,身體,12,手,hand,la main,Hand
403,人文活動,身體,13,手臂,arm,le bras,Arm
404,人文活動,身體,14,腿,leg,la jambe,Bein
405,人文活動,身體,15,脚,foot,le pied,Fuß
406,人文活動,身體,16,背,back,le dos,Rücken
407,人文活動,身體,17,肚子,belly,le ventre,Bauch
408,人文活動,身體,18,心臟,heart,le cœur,Herz
409,人文活動,身體,19,膝蓋,knee,le genou,Knie
410,人文活動,身體,20,手指,finger,le doigt,Finger
411,人文活動,身體,21,肩膀,shoulder,l’épaule,Schulter
412,人文活動,顏色,1,颜色,color,la couleur,Farbe
413,人文活動,顏色,2,红色,red,rouge,rot
414,人文活動,顏色,3,橙色,orange,orange,orange
415,人文活動,顏色,4,黄色的（形容词）,yellow (adj.),jaune,gelb
416,人文活動,顏色,5,绿色,green,vert,grün
417,人文活動,顏色,6,蓝色的（形容词）,blue (adj.),bleu,blau
418,人文活動,顏色,7,紫色,purple,violet,violett
419,人文活動,顏色,8,黑的（形容词）,black (adj.),noir,schwarz
420,人文活動,顏色,9,白色的（形容词）,white (adj.),blanc,weiß
421,人文活動,顏色,10,灰色的（形容词）,grey (adj.),gris,grau
422,氣象地理交通,天空天氣,1,天空,sky,le ciel,Himmel
423,氣象地理交通,天空天氣,2,星星,star,l’étoile,Stern
424,氣象地理交通,天空天氣,3,月亮,moon,la lune,Mond
425,氣象地理交通,天空天氣,4,太阳（阳性名词）,sun (n.),le soleil,die Sonne
426,氣象地理交通,天空天氣,5,气象,weather forecast,la météo,Wetterbericht
427,氣象地理交通,天空天氣,6,气候,climate,le climat,Klima
428,氣象地理交通,天空天氣,7,天气,weather,le temps,Wetter
429,氣象地理交通,天空天氣,8,温度（阴性名词）,temperature (n.),la température,die Temperatur
430,氣象地理交通,天空天氣,9,冷的感覺,cold,le froid,Kälte
431,氣象地理交通,天空天氣,10,熱的感覺,heat,la chaleur,Hitze
432,氣象地理交通,天空天氣,11,雨,rain,la pluie,Regen
433,氣象地理交通,天空天氣,12,雪,snow,la neige,Schnee
434,氣象地理交通,天空天氣,13,风（阳性名词）,wind (n.),le vent,der Wind
435,氣象地理交通,天空天氣,14,雲,cloud,le nuage,Wolke
436,氣象地理交通,天空天氣,15,霧,fog,le brouillard,Nebel
437,氣象地理交通,天空天氣,16,暴風雨,storm,l’orage,Gewitter
438,氣象地理交通,天空天氣,17,彩虹,rainbow,l’arc-en-ciel,Regenbogen
439,氣象地理交通,天空天氣,18,度数,degree,le degré,Grad
440,氣象地理交通,方位,1,方向,direction,la direction,Richtung
441,氣象地理交通,方位,2,東,east,l’est,Osten
442,氣象地理交通,方位,3,西,west,l’ouest,Westen
443,氣象地理交通,方位,4,南（阳性名词）,south (n.),le sud,der Süden
444,氣象地理交通,方位,5,北,north,le nord,Norden
445,氣象地理交通,方位,6,中心（阳性名词）,centre (n.),le centre,das Zentrum
446,氣象地理交通,地區,1,地区（阴性名词）,region (n.),la région,die Region
447,氣象地理交通,地區,2,区（阳性名词）,district (n.),le quartier,der Stadtteil
448,氣象地理交通,地區,3,行政区（阳性名词）,arrondissement (n.),l’arrondissement,der Stadtbezirk
449,氣象地理交通,地理,1,自然,nature,la nature,Natur
450,氣象地理交通,地理,2,盆地,basin,le bassin,Becken
451,氣象地理交通,地理,3,山（阴性名词）,mountain (n.),la montagne,der Berg
452,氣象地理交通,地理,4,丘陵,hill,la colline,Hügel
453,氣象地理交通,地理,5,森林（阴性名词）,forest (n.),la forêt,der Wald
454,氣象地理交通,地理,6,湖（阳性名词）,lake (n.),le lac,der See
455,氣象地理交通,地理,7,河（阴性名词）,river (n.),la rivière,der Fluss
456,氣象地理交通,地理,8,海（阴性名词）,sea (n.),la mer,das Meer
457,氣象地理交通,地理,9,岛（阴性名词）,island (n.),l’île,die Insel
458,氣象地理交通,地理,10,沙滩（阴性名词）,beach (n.),la plage,der Strand
459,氣象地理交通,地理,11,田野,field,le champ,Feld
460,氣象地理交通,四大洋,1,太平洋,Pacific Ocean,l’océan Pacifique,Pazifischer Ozean
461,氣象地理交通,四大洋,2,大西洋,Atlantic Ocean,l’océan Atlantique,Atlantischer Ozean
462,氣象地理交通,四大洋,3,印度洋,Indian Ocean,l’océan Indien,Indischer Ozean
463,氣象地理交通,四大洋,4,北冰洋,Arctic Ocean,l’océan Arctique,Arktischer Ozean
464,氣象地理交通,七大洲,1,亞洲,Asia,l’Asie,Asien
465,氣象地理交通,七大洲,2,歐洲,Europe,l’Europe,Europa
466,氣象地理交通,七大洲,3,北美洲,North America,l’Amérique du Nord,Nordamerika
467,氣象地理交通,七大洲,4,南美洲,South America,l’Amérique du Sud,Südamerika
468,氣象地理交通,七大洲,5,非洲,Africa,l’Afrique,Afrika
469,氣象地理交通,七大洲,6,大洋洲,Oceania,l’Océanie,Ozeanien
470,氣象地理交通,七大洲,7,南極洲,Antarctica,l’Antarctique,Antarktis
471,氣象地理交通,測量,1,深度,depth,la profondeur,Tiefe
472,氣象地理交通,測量,2,寬度,width,la largeur,Breite
473,氣象地理交通,測量,3,高度,height,la hauteur,Höhe
474,氣象地理交通,測量,4,长度,length,la longueur,Länge
475,氣象地理交通,交通,1,运输（阳性名词）,transport (n.),le transport,der Transport
476,氣象地理交通,交通,2,自行车（阳性名词）,bike (n.),le vélo,das Fahrrad
477,氣象地理交通,交通,3,自行车（阳性名词）,bike (n.),le vélo,das Fahrrad
478,氣象地理交通,交通,4,摩托车,motorcycle,la moto,Motorrad
479,氣象地理交通,交通,5,汽车（阴性名词）,car (n.),la voiture,das Auto
480,氣象地理交通,交通,6,公交车,bus,le bus,Bus
481,氣象地理交通,交通,7,长途巴士,coach,l’autocar,Reisebus
482,氣象地理交通,交通,8,接驳车,shuttle,la navette,Shuttlebus
483,氣象地理交通,交通,9,地铁（阳性名词）,metro (n.),le métro,die U-Bahn
484,氣象地理交通,交通,10,火车（阳性名词）,train (n.),le train,der Zug
485,氣象地理交通,交通,11,飞机（阳性名词）,plane (n.),l’avion,das Flugzeug
486,氣象地理交通,交通,12,航班,flight,le vol,Flug
487,氣象地理交通,交通,13,船,boat,le bateau,das Boot
488,氣象地理交通,交通,14,邮輪,cruise,la croisière,Kreuzfahrt
489,氣象地理交通,交通,15,机场,airport,l’aéroport,Flughafen
490,氣象地理交通,交通,16,停靠站,stop,l’arrêt,Haltestelle
491,氣象地理交通,交通,17,车站（阴性名词）,station (n.),la gare,der Bahnhof
492,氣象地理交通,交通,18,车站（阴性名词）,station (n.),la gare,der Bahnhof
493,氣象地理交通,交通,19,月台/碼头,platform / quay,le quai,der Bahnsteig
494,氣象地理交通,交通,20,票，门票（阳性名词）,ticket (n.),le billet,die Karte
495,氣象地理交通,交通,21,车票,ticket,le ticket,die Fahrkarte
496,氣象地理交通,交通,22,在线（阴性名词）,line (on) (n.),la ligne,die Linie
497,氣象地理交通,交通,23,时间表（阳性名词）,timetable (n.),l’horaire,der Zeitplan
498,氣象地理交通,交通,24,乘客（阳性名词）,passenger (n.),le passager,der Passagier
499,氣象地理交通,交通,25,司机,driver,le conducteur,der Fahrer
500,氣象地理交通,交通,26,驾照,driver’s license,le permis,der Führerschein
501,氣象地理交通,交通,27,红绿灯（阳性名词）,traffic light (n.),le feu de circulation,die Ampel
502,氣象地理交通,交通,28,道路,road,la route,Straße
503,氣象地理交通,交通,29,高速公路,highway,l’autoroute,Autobahn
504,氣象地理交通,交通,30,出租车（阳性名词）,taxi (n.),le taxi,das Taxi
505,氣象地理交通,交通,31,行程,route / journey,le trajet,die Strecke
506,氣象地理交通,交通,32,换乘,connection / transfer,la correspondance,der Anschluss
507,氣象地理交通,交通,33,广场（阴性名词）,square (n.),la place,der Platz
508,氣象地理交通,交通,34,行李,luggage,le bagage,Gepäck
509,氣象地理交通,交通,35,离开，出发（阳性名词）,departure (n.),le départ,die Abfahrt
510,氣象地理交通,交通,36,到达,arrival,l’arrivée,Ankunft
511,氣象地理交通,交通,37,延误,delay,le retard,Verspätung
512,氣象地理交通,交通,38,交通堵塞,traffic jam,l’embouteillage,Stau
513,氣象地理交通,地圖,1,菜单，卡片（阴性名词）,"menu, card (n.)",la carte,die Karte
514,氣象地理交通,地圖,2,国家（阳性名词）,country (n.),le pays,das Land
515,氣象地理交通,地圖,3,城市（阴性名词）,town (n.),la ville,die Stadt
516,氣象地理交通,地圖,4,乡村（阳性名词）,village (n.),le village,das Dorf
517,氣象地理交通,地圖,5,首都（阴性名词）,capital (n.),la capitale,die Hauptstadt
518,氣象地理交通,地圖,6,区（阳性名词）,district (n.),le quartier,der Stadtteil
519,氣象地理交通,地圖,7,地址（阴性名词）,address (n.),l’adresse,die Adresse
520,氣象地理交通,地圖,8,路線圖,map / plan,le plan,der Plan
521,氣象地理交通,地方,1,地方,place,le lieu,Ort
522,氣象地理交通,地方,2,场所,place / location,l’endroit,der Ort
523,氣象地理交通,郵寄,1,岗位（阳性名词）,post (n.),la poste,die Post
524,氣象地理交通,郵寄,2,邮件,mail,le courrier,Post
525,氣象地理交通,郵寄,3,明信片,postcard,la carte postale,Postkarte
526,氣象地理交通,郵寄,4,信/字母,letter,la lettre,der Brief
527,氣象地理交通,郵寄,5,信封,envelope,l’enveloppe,Umschlag
528,氣象地理交通,郵寄,6,回邮信封,prepaid return envelope,l’enveloppe préaffranchie,freigemachter Rückumschlag
529,氣象地理交通,郵寄,7,箱子,parcel / box,le colis,das Paket
530,氣象地理交通,郵寄,8,邮票,stamp,le timbre,Briefmarke
531,氣象地理交通,郵寄,9,包裹,parcel,le paquet,Paket
532,氣象地理交通,郵寄,10,地址（阴性名词）,address (n.),l’adresse,die Adresse
533,氣象地理交通,郵寄,11,寄件人,sender,l’expéditeur,der Absender
534,氣象地理交通,郵寄,12,收件人,recipient,le destinataire,der Empfänger
535,氣象地理交通,郵寄,13,投递,delivery,la livraison,Zustellung
536,氣象地理交通,郵寄,14,邮差,postman,le facteur,der Briefträger
537,氣象地理交通,旅行,1,假期（阴性名词复数）,holiday (n.),les vacances,die Ferien
538,氣象地理交通,旅行,2,休假,leave / vacation,le congé,Urlaub
539,氣象地理交通,旅行,3,旅行（阳性名词）,trip (n.),le voyage,die Reise
540,氣象地理交通,旅行,4,乘客（阳性名词）,passenger (n.),le passager,der Passagier
541,氣象地理交通,旅行,5,行李箱,suitcase,la valise,Koffer
542,氣象地理交通,旅行,6,转接器,adapter,l’adaptateur,Adapter
543,氣象地理交通,旅行,7,专科，专业（阴性名词）,speciality (n.),la spécialité,die Spezialität
544,氣象地理交通,旅行,8,旅遊行程,itinerary,l’itinéraire,Reiseplan
545,氣象地理交通,旅行,9,护照,passport,le passeport,der Reisepass
546,氣象地理交通,旅行,10,签证,visa,le visa,das Visum
547,氣象地理交通,旅行,11,導遊,guide,le guide,der Reiseführer
548,氣象地理交通,旅行,12,旅遊局,tourist office,l’office de tourisme,Touristeninformation
549,氣象地理交通,旅行,13,记忆（阳性名词）,"memory, souvenir (n.)",le souvenir,die Erinnerung
550,氣象地理交通,旅行,14,预約,reservation,la réservation,Reservierung
551,娛樂建築,購物,1,购物,shopping,le shopping,Einkaufen
552,娛樂建築,購物,2,折扣活动,sales,les soldes,Schlussverkauf
553,娛樂建築,購物,3,购买（阳性名词）,purchase (n.),l’achat,der Kauf
554,娛樂建築,購物,4,预算,budget,le budget,Budget
555,娛樂建築,購物,5,订单,order,la commande,Bestellung
556,娛樂建築,購物,6,账单,bill / invoice,la facture,Rechnung
557,娛樂建築,購物,7,收據,receipt,le reçu,Quittung
558,娛樂建築,購物,8,价格（阳性名词）,"price, award (n.)",le prix,der Preis
559,娛樂建築,購物,9,现金,cash,les espèces,Bargeld
560,娛樂建築,購物,10,银行卡（阴性名词）,bank card (n.),la carte bancaire,die Bankkarte
561,娛樂建築,購物,11,产品（阳性名词）,product (n.),le produit,das Produkt
562,娛樂建築,購物,12,尺寸,size,la taille,Größe
563,娛樂建築,購物,13,试衣间,fitting room,la cabine d’essayage,Umkleidekabine
564,娛樂建築,旅館,1,宾馆（阳性名词）,hotel (n.),l’hôtel,das Hotel
565,娛樂建築,旅館,2,青年旅馆,youth hostel,l’auberge de jeunesse,Jugendherberge
566,娛樂建築,旅館,3,预订,reservation,la réservation,Reservierung
567,娛樂建築,旅館,4,酒店入住,check-in,l’enregistrement,Einchecken
568,娛樂建築,旅館,5,房间钥匙,room key,la clé,Zimmerschlüssel
569,娛樂建築,旅館,6,柜台,counter / reception,la réception,die Rezeption
570,娛樂建築,旅館,7,离开，出发（阳性名词）,departure (n.),le départ,die Abfahrt
571,娛樂建築,電影,1,历史（阴性名词）,history (n.),l’histoire,die Geschichte
572,娛樂建築,電影,2,电影（阴性名词）,cinema (n.),le cinéma,das Kino
573,娛樂建築,電影,3,电影（阳性名词）,film (n.),le film,der Film
574,娛樂建築,電影,4,剧情片,drama,le drame,Drama
575,娛樂建築,電影,5,喜剧（阴性名词）,comedy (n.),la comédie,die Komödie
576,娛樂建築,電影,6,音乐剧,musical,la comédie musicale,Musical
577,娛樂建築,電影,7,演员（阳性名词）,actor (n.),l’acteur,der Schauspieler
578,娛樂建築,電影,8,导演,director,le réalisateur,der Regisseur
579,娛樂建築,電影,9,字幕,subtitles,les sous-titres,Untertitel
580,娛樂建築,電影,10,票房,box office,le box-office,die Kinokasse
581,娛樂建築,電影,11,会议（阴性名词）,session (n.),la séance,die Sitzung
582,娛樂建築,店鋪,1,店铺,shop,la boutique,Laden
583,娛樂建築,店鋪,2,商店,store,le magasin,Geschäft
584,娛樂建築,店鋪,3,开门,opening,l’ouverture,Öffnung
585,娛樂建築,店鋪,4,关门,closing,la fermeture,Schließung
586,娛樂建築,店鋪,5,银行（阴性名词）,bank (n.),la banque,die Bank
587,娛樂建築,店鋪,6,药店,pharmacy,la pharmacie,Apotheke
588,娛樂建築,店鋪,7,报刊亭,kiosk,le kiosque,Kiosk
589,娛樂建築,店鋪,8,书店,bookstore,la librairie,Buchhandlung
590,娛樂建築,店鋪,9,文具店（阴性名词）,stationery store (n.),la papeterie,die Papierhandlung
591,娛樂建築,店鋪,10,理发店,hair salon,le salon de coiffure,Friseursalon
592,娛樂建築,店鋪,11,花店,florist,le fleuriste,Blumenladen
593,娛樂建築,店鋪,12,面包店（阴性名词）,bakery (n.),la boulangerie,die Bäckerei
594,娛樂建築,店鋪,13,肉店,butcher shop,la boucherie,Metzgerei
595,娛樂建築,店鋪,14,鱼店,fish shop,la poissonnerie,Fischgeschäft
596,娛樂建築,店鋪,15,超市（阳性名词）,supermarket (n.),le supermarché,der Supermarkt
597,娛樂建築,店鋪,16,市场,market,le marché,Markt
598,娛樂建築,店鋪,17,服装店,clothing store,le magasin de vêtements,Bekleidungsgeschäft
599,娛樂建築,店鋪,18,鞋店,shoe store,le magasin de chaussures,Schuhgeschäft
600,娛樂建築,店鋪,19,珠宝店,jewelry store,la bijouterie,Juweliergeschäft
601,娛樂建築,店鋪,20,杂货店,grocery store,l’épicerie,Lebensmittelgeschäft
602,娛樂建築,店鋪,21,洗衣店,laundromat,la laverie,Waschsalon
603,娛樂建築,吃店,1,饭店（阳性名词）,restaurant (n.),le restaurant,das Restaurant
604,娛樂建築,吃店,2,小酒馆,bistro,le bistrot,Bistro
605,娛樂建築,吃店,3,餐馆/酒馆,brasserie,la brasserie,Brasserie
606,娛樂建築,吃店,4,下午茶店,tea room,le salon de thé,Teesalon
607,娛樂建築,吃店,5,咖啡（阳性名词）,"coffee, café (n.)",le café,der Kaffee
608,娛樂建築,吃店,6,酒吧,bar,le bar,Bar
609,娛樂建築,吃店,7,快餐店,fast food restaurant,le fast-food,Fast-Food-Restaurant
610,娛樂建築,吃店,8,面包咖啡店,bakery café,la boulangerie-café,Bäckerei-Café
611,娛樂建築,吃店,9,外帶店,takeaway,la vente à emporter,der Imbiss
612,娛樂建築,吃店,10,糕点（阴性名词）,cake shop (n.),la pâtisserie,die Konditorei
613,娛樂建築,公設,1,市中心,city center,le centre-ville,Stadtzentrum
614,娛樂建築,公設,2,公园(阳性名词),park (n.),le parc,der Park
615,娛樂建築,公設,3,花园（阳性名词）,garden (n.),le jardin,der Garten
616,娛樂建築,公設,4,图书馆（阴性名词）,library (n.),la bibliothèque,die Bibliothek
617,娛樂建築,公設,5,游泳池,swimming pool,la piscine,Schwimmbad
618,娛樂建築,公設,6,停车场(阳性名词),car park (n.),le parking,der Parkplatz
619,娛樂建築,公設,7,市政府（阴性名词）,town hall (n.),la mairie,das Rathaus
620,娛樂建築,公設,8,大教堂（阴性名词）,cathedral (n.),la cathédrale,die Kathedrale
621,娛樂建築,公設,9,小教堂,chapel,la chapelle,Kapelle
622,娛樂建築,公設,10,医院（阳性名词）,hospital (n.),l’hôpital,das Krankenhaus
623,娛樂建築,公設,11,警察局,police station,le commissariat,Polizeiwache
624,娛樂建築,公設,12,学校,school,l’école,Schule
625,娛樂建築,公設,13,博物馆（阳性名词）,museum (n.),le musée,das Museum
626,娛樂建築,公設,14,剧院（阳性名词）,theatre (n.),le théâtre,das Theater
627,娛樂建築,公設,15,邮局（阴性名词）,post office (n.),la poste,die Post
628,娛樂建築,公設,16,车站（阴性名词）,station (n.),la gare,der Bahnhof
629,娛樂建築,公設,17,体育馆,gymnasium,le gymnase,Sporthalle
630,娛樂建築,街道,1,路徑车道,lane / way,la voie,die Spur
631,娛樂建築,街道,2,行人,pedestrian,le piéton,der Fußgänger
632,娛樂建築,街道,3,大马路，林荫大道（阳性 名词）,boulevard (n.),le boulevard,der Boulevard
633,娛樂建築,街道,4,大街（阴性名词）,avenue (n.),l’avenue,die Allee
634,娛樂建築,街道,5,路,road,la route,Straße
635,娛樂建築,街道,6,街道（阴性名词）,street (n.),la rue,die Straße
636,娛樂建築,街道,7,巷,alley,la ruelle,Gasse
637,娛樂建築,街道,8,十字路口,intersection,le carrefour,Kreuzung
638,娛樂建築,街道,9,人行道,sidewalk,le trottoir,Gehweg
639,娛樂建築,街道,10,斑馬線,pedestrian crossing,le passage piéton,Zebrastreifen
640,娛樂建築,街道,11,桥（阳性名词）,bridge (n.),le pont,die Brücke
641,娛樂建築,街道,12,广场（阴性名词）,square (n.),la place,der Platz
642,娛樂建築,街道,13,圓環,roundabout,le rond-point,Kreisverkehr
643,娛樂建築,街道,14,火（阳性名词）,fire (n.),le feu,das Feuer
644,娛樂建築,街道,15,路牌,road sign,le panneau,Straßenschild
645,娛樂建築,建廳,1,（楼房的）层（阳性名 词）,floor (n.),l’étage,das Geschoss
646,娛樂建築,建廳,2,墙壁,wall,le mur,Wand
647,娛樂建築,建廳,3,屋顶,roof,le toit,Dach
648,娛樂建築,建廳,4,地板,floor,le sol,Boden
649,娛樂建築,建廳,5,门（阴性名词）,door (n.),la porte,die Tür
650,娛樂建築,建廳,6,片（阴性名词）,"room, piece (n.)",la pièce,das Zimmer
651,娛樂建築,建廳,7,间,room,la chambre,Zimmer
652,娛樂建築,建廳,8,片（阴性名词）,"room, piece (n.)",la pièce,das Zimmer
653,娛樂建築,建廳,9,洗手间（阴性名词复数）,toilets (n.pl.),les toilettes,die Toiletten
654,娛樂建築,建廳,10,浴室（阴性名词）,bathroom (n.),la salle de bain,das Badezimmer
655,娛樂建築,建廳,11,客厅（阳性名词）,living room (n.),le salon,das Wohnzimmer
656,娛樂建築,建廳,12,厨房（阴性名词）,"kitchen, cuisine (n.)",la cuisine,die Küche
657,娛樂建築,建廳,13,套房,suite,la suite,Suite
658,娛樂建築,建廳,14,"走廊,通道(阳性名词)",corridor (n.),le couloir,der Flur
659,娛樂建築,建廳,15,楼梯（阳性名词）,staircase (n.),l’escalier,die Treppe
660,娛樂建築,建廳,16,车库（阳性名词）,garage (n.),le garage,die Garage
661,娛樂建築,建廳,17,阳台（阳性名词）,balcony (n.),le balcon,der Balkon
662,娛樂建築,建廳,18,平台（阴性名词）,terrace (n.),la terrasse,die Terrasse
663,娛樂建築,建廳,19,院子,yard / courtyard,la cour,Hof
664,娛樂建築,建廳,20,电梯（阳性名词）,lift (n.),l’ascenseur,der Aufzug
665,娛樂建築,建廳,21,單间公寓,studio apartment,le studio,die Einzimmerwohnung
666,娛樂建築,建廳,22,公寓,apartment,l’appartement,Wohnung
667,娛樂建築,建廳,23,房屋（阴性名词）,house (n.),la maison,das Haus
668,娛樂建築,建廳,24,住宅,housing / dwelling,le logement,die Wohnung
669,娛樂建築,建廳,25,住宿（动词）,"put up, house (v.)",loger,übernachten
670,娛樂建築,建廳,26,建筑物,building,le bâtiment,Gebäude
671,娛樂建築,建廳,27,租金（阳性名词）,rent (n.),le loyer,die Miete
672,娛樂建築,樓層,1,底层（阳性名词）,ground floor (n.),le rez-de-chaussée,das Erdgeschoss
673,娛樂建築,樓層,2,地下室,basement,le sous-sol,Keller
674,娛樂建築,家事,1,家事,housework,le ménage,Hausarbeit
675,娛樂建築,家事,2,修修弄弄,DIY / repairs,le bricolage,Heimwerken
676,娛樂建築,家事,3,洗衣服,laundry,la lessive,Wäsche
677,娛樂建築,傢俱,1,家具（阳性名词）,furniture (n.),les meubles,die Möbel
678,娛樂建築,傢俱,2,物体，对象（阳性名词）,object (n.),l’objet,der Gegenstand
679,娛樂建築,傢俱,3,事情（阴性名词）,thing (n.),la chose,die Sache
680,娛樂建築,傢俱,4,設備,equipment,l’équipement,Ausstattung
681,娛樂建築,傢俱,5,时鐘,clock,l’horloge,Uhr
682,娛樂建築,傢俱,6,桌子,table,la table,Tisch
683,娛樂建築,傢俱,7,办公室（阳性名词）,office (n.),le bureau,das Büro
684,娛樂建築,傢俱,8,椅子,chair,la chaise,Stuhl
685,娛樂建築,傢俱,9,长沙发（阳性名词）,couch (n.),le canapé,das Sofa
686,娛樂建築,傢俱,10,扶手椅（阳性名词）,armchair (n.),le fauteuil,der Sessel
687,娛樂建築,傢俱,11,柜子,wardrobe / cabinet,l’armoire,Schrank
688,娛樂建築,傢俱,12,书架,shelf,l’étagère,Regal
689,娛樂建築,傢俱,13,床头柜,bedside table,la table de nuit,Nachttisch
690,娛樂建築,傢俱,14,抽屉,drawer,le tiroir,Schublade
691,娛樂建築,傢俱,15,衣柜,wardrobe,la penderie,Kleiderschrank
692,娛樂建築,傢俱,16,地毯（阳性名词）,rug (n.),le tapis,der Teppich
693,娛樂建築,傢俱,17,窗帘,curtain,le rideau,Vorhang
694,娛樂建築,傢俱,18,鏡子,mirror,le miroir,Spiegel
695,娛樂建築,傢俱,19,灯（阴性名词）,lamp (n.),la lampe,die Lampe
696,娛樂建築,房間,1,床（阳性名词）,bed (n.),le lit,das Bett
697,娛樂建築,房間,2,枕头（阳性名词）,pillow (n.),l’oreiller,das Kopfkissen
698,娛樂建築,房間,3,羽绒被(阴性名词),duvet (n.),la couette,die Steppdecke
699,娛樂建築,浴室,1,浴缸，浴盆（阴性名词）,bathtub (n.),la baignoire,die Badewanne
700,娛樂建築,浴室,2,淋浴（阴性名词）,shower (n.),la douche,die Dusche
701,娛樂建築,浴室,3,鏡子,mirror,le miroir,Spiegel
702,娛樂建築,浴室,4,肥皂,soap,le savon,Seife
703,娛樂建築,浴室,5,洗发精,shampoo,le shampooing,Shampoo
704,娛樂建築,浴室,6,毛巾,towel,la serviette,Handtuch
705,娛樂建築,浴室,7,牙刷,toothbrush,la brosse à dents,Zahnbürste
706,娛樂建築,浴室,8,牙膏,toothpaste,le dentifrice,Zahnpasta
707,娛樂建築,浴室,9,洗手台,washbasin,le lavabo,Waschbecken
708,娛樂建築,浴室,10,洗手间（阴性名词复数）,toilets (n.pl.),les toilettes,die Toiletten
709,娛樂建築,藝擺,1,广告（阴性名词）,advertisement (n.),la publicité,die Werbung
710,娛樂建築,藝擺,2,图表（阳性名词）,table (n.),le tableau,die Tabelle
711,娛樂建築,藝擺,3,圖畫,drawing,le dessin,Zeichnung
712,娛樂建築,藝擺,4,雕像,statue,la statue,Statue
713,娛樂建築,藝擺,5,花瓶,vase,le vase,Vase
714,娛樂建築,藝擺,6,裝饰,decoration,la décoration,Dekoration
715,娛樂建築,電器,1,器具,device / appliance,l’appareil,Gerät
716,娛樂建築,電器,2,答錄机,answering machine,le répondeur,Anrufbeantworter
717,娛樂建築,電器,3,充电器,charger,le chargeur,Ladegerät
718,娛樂建築,電器,4,灯（阴性名词）,lamp (n.),la lampe,die Lampe
719,娛樂建築,電器,5,灯泡（阴性名词）,bulb (n.),l’ampoule,die Glühbirne
720,娛樂建築,電器,6,电脑（阳性名词）,computer (n.),l’ordinateur,der Computer
721,娛樂建築,電器,7,平板电脑,tablet,la tablette,Tablet
722,娛樂建築,電器,8,电视（阴性名词）,TV (n.),la télévision,der Fernseher
723,娛樂建築,電器,9,无线广播（阴性名词）,radio (n.),la radio,das Radio
724,娛樂建築,電器,10,手机,mobile phone,le téléphone portable,das Handy
725,娛樂建築,電器,11,冰箱,refrigerator,le réfrigérateur,Kühlschrank
726,娛樂建築,電器,12,洗衣机,washing machine,la machine à laver,Waschmaschine
727,娛樂建築,電器,13,炉子（阳性名词）,oven (n.),le four,der Backofen
728,娛樂建築,電器,14,微波炉,microwave,le micro-ondes,Mikrowelle
729,娛樂建築,電器,15,吹风机,hair dryer,le sèche-cheveux,Föhn
730,娛樂建築,電器,16,吸尘器,vacuum cleaner,l’aspirateur,Staubsauger
731,娛樂建築,電器,17,空调,air conditioning,la climatisation,Klimaanlage
732,娛樂建築,電器,18,遥控器,remote control,la télécommande,Fernbedienung
733,娛樂建築,材質,1,成分元素,element,l’élément,Element
734,娛樂建築,材質,2,木头,wood,le bois,Holz
735,娛樂建築,材質,3,铁,iron,le fer,Eisen
736,娛樂建築,材質,4,皮,leather,le cuir,Leder
737,娛樂建築,材質,5,塑膠,plastic,le plastique,der Kunststoff
738,娛樂建築,材質,6,玻璃（阳性名词）,glass (n.),le verre,das Glas
739,娛樂建築,材質,7,纸张(阳性名词),paper (n.),le papier,das Papier
740,娛樂建築,尺寸,1,尺寸,size,la taille,Größe
741,娛樂建築,尺寸,2,尺碼,shoe size,la pointure,Schuhgröße
742,娛樂建築,尺寸,3,重量,weight,le poids,Gewicht
743,服飾健康,飾品,1,配饰,accessory,l’accessoire,Accessoire
744,服飾健康,飾品,2,模式（阴性名词）,fashion (n.),la mode,die Mode
745,服飾健康,飾品,3,风格（阳性名词）,style (n.),le style,der Stil
746,服飾健康,飾品,4,手套,gloves,les gants,Handschuhe
747,服飾健康,飾品,5,手镯，链子（阳性名词）,bracelet (n.),le bracelet,das Armband
748,服飾健康,飾品,6,戒指,ring,la bague,Ring
749,服飾健康,飾品,7,手錶,watch,la montre,Uhr
750,服飾健康,飾品,8,皮带，腰带（阴性名词）,belt (n.),la ceinture,der Gürtel
751,服飾健康,飾品,9,帽子（阳性名词）,hat (n.),le chapeau,der Hut
752,服飾健康,飾品,10,领带（阴性名词）,tie (n.),la cravate,die Krawatte
753,服飾健康,飾品,11,太阳眼鏡,sunglasses,les lunettes de soleil,Sonnenbrille
754,服飾健康,頭飾,1,眼鏡,glasses,les lunettes,Brille
755,服飾健康,頭飾,2,耳環,earrings,les boucles d’oreilles,Ohrringe
756,服飾健康,頭飾,3,项链（阳性名词）,necklace (n.),le collier,die Halskette
757,服飾健康,頭飾,4,围巾（阳性名词）,scarf (n.),l’écharpe,der Schal
